Paquete,base,StableDif,bigquery,bipic,blablacar,crewai,django,eda_dataprep,flowise,hispasonic,jupyterbook,kaggle,perception_scraper,praisonai,report_generator,rstudio,sonus,sqlite,synth_data,tf_env,time_series
gobject-introspection,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-api-core,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-api-core-grpc,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-api-python-client,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
googleapis-common-protos,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
google-auth,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
google-auth-httplib2,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-auth-oauthlib,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
google-cloud,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-cloud-bigquery,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-cloud-bigquery-core,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-cloud-bigquery-storage,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-cloud-bigquery-storage-core,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-cloud-core,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-crc32c,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
google-pasta,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
google-resumable-media,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
graphite2,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
graphviz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
greenlet,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
grpcio,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
grpcio-status,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gspread,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
gst-plugins-base,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
gstreamer,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
gtk2,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
gts,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
h11,❌,❌,❌,✅,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌
h2,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
h5py,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
harfbuzz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
hdf4,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
hdf5,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
heapdict,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
hpack,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
html5lib,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
htmldate,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
httpcore,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌
httplib2,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
httpx,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌
hyperframe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
hyperlink,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
icu,✅,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,❌,❌
idna,✅,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,✅,❌,✅,❌
imagesize,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
importlib-metadata,❌,❌,❌,✅,✅,❌,❌,✅,❌,❌,✅,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
importlib_metadata,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,✅,❌,❌,❌,❌,✅,❌,❌,✅,❌
importlib_resources,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,✅,❌,❌,❌,❌,✅,❌,❌,✅,❌
incremental,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
intel-openmp,❌,❌,✅,✅,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
ipykernel,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
ipython,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
ipython_genutils,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
ipython_pygments_lexers,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
ipython-sql,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
ipywidgets,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
isoduration,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌
itemadapter,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
itemloaders,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
itsdangerous,❌,❌,❌,✅,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jarowinkler,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jax,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
jedi,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
jinja2,❌,❌,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
jmespath,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
joblib,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
jpeg,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
json5,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
json-c,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jsonpatch,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
jsonpath-ng,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jsonpointer,✅,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,✅,❌,❌,❌
jsonschema,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
jsonschema-specifications,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
jsonschema-with-format-nongpl,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
jupyter-book,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jupyter-cache,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jupyter-client,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyter_client,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyter-core,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyter_core,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyter-events,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyter_events,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyterlab,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
jupyterlab-pygments,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyterlab_pygments,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyterlab-server,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyterlab_server,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyterlab_widgets,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jupyter-lsp,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
jupyter-server,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyter_server,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyter_server_fileid,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jupyter-server-terminals,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
jupyter_server_terminals,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
jupyter_server_ydoc,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jupyter_ydoc,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
jupytext,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
justext,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
kealib,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
keras,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
keyutils,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌
kiwisolver,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
kombu,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
krb5,✅,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,❌,❌
lame,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
langcodes,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
latexcodec,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
lcms2,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
ld_impl_linux-64,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌
lerc,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
levenshtein,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libabseil,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libarchive,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
libblas,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libboost,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libbrotlicommon,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libbrotlidec,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libbrotlienc,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libcap,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libcblas,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libclang,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,✅,❌
libclang13,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libclang-cpp20.1,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libcrc32c,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libcups,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libcurl,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌
libdeflate,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libdrm,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libedit,✅,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,❌,❌
libegl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libev,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌
libevent,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libexpat,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libffi,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌
libflac,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
libgcc,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
_libgcc_mutex,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌
libgcc-ng,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌
libgcrypt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libgd,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libgdal,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libgfortran,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libgfortran4,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libgfortran5,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libgfortran-ng,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libgl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libglib,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libglvnd,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libglx,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libgomp,✅,❌,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌
libgpg-error,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libgrpc,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libhwloc,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libiconv,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,✅,❌,✅,❌,❌,❌
libjpeg-turbo,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libkml,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
liblapack,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libllvm14,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libllvm15,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libllvm20,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
liblzma,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libmamba,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
libmambapy,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅,❌,❌,❌
libnetcdf,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
libnghttp2,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,❌,❌
libnsl,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,✅,✅,✅,❌,❌,✅,✅,✅,❌,❌,❌
libntlm,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libogg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌
libopenblas,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libopengl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libopus,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libpciaccess,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
libpng,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libpq,❌,❌,✅,❌,❌,❌,❌,❌,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
libprotobuf,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
librsvg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libsndfile,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
libsodium,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,❌,✅,❌,❌,✅,❌
